                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0368,                0.88075,                 1.1354,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.0508,                0.89607,                  1.152,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0543,                0.87577,                 1.1502,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                  1.023,                0.84413,                 1.1235,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0384,                0.86986,                 1.1235,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.0433,                0.86475,                 1.1395,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.0215,                0.86747,                 1.1157,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.0134,                0.82859,                 1.1132,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                  1.027,                0.84059,                 1.1214,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                  1.014,                0.85264,                 1.1163,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                0.95782,                0.71904,                 1.0786,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                0.95213,                0.70462,                 1.0649,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                0.93954,                0.69101,                 1.0718,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                0.93447,                0.68306,                 1.0676,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.93463,                0.68386,                 1.0636,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.92034,                0.66306,                 1.0473,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.93447,                0.66707,                 1.0574,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.92147,                0.66698,                 1.0533,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.92249,                0.65621,                 1.0559,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.91449,                0.65033,                 1.0478,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
